n	n:100000	L50	LG50	NG50	min	N80	N50	N20	E-size	max	sum	name
51	7	2	2	1015649	167689	484886	1015649	2642222	1593255	2642222	5532093	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.bold.unicycler.fa
70	6	2	2	1581616	167687	553609	1581616	1961050	1373805	1961050	5533212	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k41.unicycler.fa
62	6	1	1	3125839	167664	553481	3125839	3125839	2055706	3125839	5529190	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k43.unicycler.fa
39	8	2	2	1015663	167689	462202	1015663	2181962	1230077	2181962	5534079	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k45.unicycler.fa
18	7	2	2	1015363	167726	486204	1015363	2642552	1593973	2642552	5525789	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k47.unicycler.fa
29	7	2	2	1200771	167726	486283	1200771	1985758	1253673	1985758	5497438	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k49.unicycler.fa
24	5	1	1	3484707	167727	1207194	3484707	3484707	2507735	3484707	5526375	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k51.unicycler.fa
14	6	1	1	3162034	167727	546852	3162034	3162034	2060860	3162034	5526373	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k53.unicycler.fa
21	6	1	1	3484289	167727	455304	3484289	3484289	2363743	3484289	5532716	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k55.unicycler.fa
17	6	1	1	3540296	167727	455322	3540296	3540296	2425186	3540296	5525787	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k57.unicycler.fa
55	5	1	1	3540493	167727	546867	3540493	3540493	2494932	3540493	5523230	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k59.normal.unicycler.fa
25	5	1	1	3540491	167727	550383	3540491	3540491	2492825	3540491	5535344	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k59.unicycler.fa
18	6	1	1	2833393	167730	546930	2833393	2833393	1864311	2833393	5522725	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k61.unicycler.fa
17	5	1	1	2882593	167730	546930	2882593	2882593	2017706	2882593	5532171	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k63.unicycler.fa
24	5	1	1	3484707	167727	1207194	3484707	3484707	2507735	3484707	5526375	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k51.unicycler.HYN5VCCXX_4.trimadap.c2_e50000_r0.05.arcs.a0.7_l10.links.fa
15	5	1	1	3539467	167727	546852	3539467	3539467	2493986	3539467	5522509	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k53.unicycler.tigmint.HYN5VCCXX_4.trimadap.c2_e50000_r0.05.arcs.a0.7_l10.links.fa
24	5	1	1	3484289	167727	602929	3484289	3484289	2434318	3484289	5529683	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k55.unicycler.tigmint.HYN5VCCXX_4.trimadap.c2_e50000_r0.05.arcs.a0.7_l10.links.fa
20	5	1	1	3540296	167727	546781	3540296	3540296	2494818	3540296	5522754	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k57.unicycler.tigmint.HYN5VCCXX_4.trimadap.c2_e50000_r0.05.arcs.a0.7_l10.links.fa
25	5	1	1	3540491	167727	550383	3540491	3540491	2492825	3540491	5535344	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k59.unicycler.HYN5VCCXX_4.trimadap.c2_e50000_r0.05.arcs.a0.7_l10.links.fa
17	5	1	1	4141306	167730	546930	4141306	4141306	3206341	4141306	5522725	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k61.unicycler.HYN5VCCXX_4.trimadap.c2_e50000_r0.05.arcs.a0.7_l10.links.fa
21	6	1	1	3724225	167730	417006	3724225	3724225	2643852	3724225	5522650	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k61.unicycler.tigmint.HYN5VCCXX_4.trimadap.c2_e50000_r0.05.arcs.a0.7_l10.links.fa
16	4	1	1	4421775	167730	546930	4421775	4421775	3621718	4421775	5532171	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k63.unicycler.HYN5VCCXX_4.trimadap.c2_e50000_r0.05.arcs.a0.7_l10.links.fa
17	4	1	1	4421621	167730	546930	4421621	4421621	3621573	4421621	5532017	Q903_12.porechop.minimap2.c2.miniasm.racon.racon.HYN5VCCXX_4.trimadap.bx.sort.mt.canu.contigs.k63.unicycler.tigmint.HYN5VCCXX_4.trimadap.c2_e50000_r0.05.arcs.a0.7_l10.links.fa
